ranking,city,name,tourism,bf_score,bf_category,wheelchair,toilets_wheelchair
1,Osaka,みどりのみゅーじあむ,museum,55,対応済,yes,yes
2,Osaka,吹田市立博物館,museum,55,対応済,yes,yes
3,Tokyo,本館,museum,55,対応済,yes,yes
4,Tokyo,東京ガス「がすてなーに ガスの科学館」,museum,55,対応済,yes,yes
5,Tokyo,東洋館,museum,55,対応済,yes,yes
6,Tokyo,水素情報館 東京スイソミル,museum,55,対応済,yes,yes
7,Tokyo,江東区深川江戸資料館,museum,55,対応済,yes,yes
8,Tokyo,草間彌生美術館,museum,55,対応済,yes,yes
9,Tokyo,GINZA SIX ガーデン,viewpoint,40,部分対応,yes,
10,Tokyo,Ginza Chuo Dori Winter Illumination,attraction,40,部分対応,yes,
11,Tokyo,HANASAKA STAND,museum,40,部分対応,yes,
12,Tokyo,Hinokicho Park (Tokyo MidTown Main Winter Illumination),attraction,40,部分対応,yes,
13,Tokyo,LOVEサイン、自由の女神、レインボーブリッジの展望台,viewpoint,40,部分対応,yes,
14,Tokyo,Maki Fine Art,gallery,40,部分対応,yes,
15,Tokyo,Memorial Peace Flame,attraction,40,部分対応,yes,
16,Tokyo,NHKスタジオパーク,museum,40,部分対応,yes,
17,Tokyo,Naka-dori,viewpoint,40,部分対応,yes,
18,Tokyo,PIGMENT,attraction,40,部分対応,yes,
19,Tokyo,Sky Circus,viewpoint,40,部分対応,yes,
20,Nagoya,Spaceship-Aqua Rooftop Lookout,viewpoint,40,部分対応,yes,
